window_label,base_year,target_year,horizon_years,period,delta_rev_per_share,delta_net_margin,delta_eps_sheet_logic,delta_eps_actual_cagr,additive_gap
2001_2025,2001,2007,6,2001-2007,1.200097678115728,0.20974409454083975,1.4098417726565677,1.6615551735135154,0.2517134008569477
2001_2025,2001,2008,7,2001-2008,1.04259886954793,0.1331932409477219,1.175792110495652,1.3146592329391718,0.13886712244351984
2001_2025,2001,2009,8,2001-2009,0.8859066166465104,0.16577367592209846,1.0516802925686088,1.1985402889338101,0.1468599963652013
2001_2025,2001,2010,9,2001-2010,0.7976358834538337,0.15256048782972131,0.950196371283555,1.0718840907737626,0.12168771949020751
2001_2025,2001,2011,10,2001-2011,0.7372172299863289,0.12258870232120711,0.859805932307536,0.9501804358603951,0.09037450355285914
2001_2025,2001,2012,11,2001-2012,0.6924332936337461,0.09255435438550941,0.7849876480192555,0.849075364466559,0.06408771644730349
2001_2025,2001,2013,12,2001-2013,0.6309110659616164,0.09080534892986614,0.7217164148914825,0.779006514379841,0.057290099488358504
2001_2025,2001,2014,13,2001-2014,0.26425716075958605,0.07784919528275625,0.3421063560423423,0.3626785633551821,0.02057220731283982
2001_2025,2001,2015,14,2001-2015,0.25251989378135997,0.07344992673541162,0.3259698205167716,0.3445173882142465,0.018547567697474898
2001_2025,2001,2016,15,2001-2016,0.2485206651169245,0.06765585646070327,0.31617652157762777,0.33299040002429714,0.016813878446669372
2001_2025,2001,2017,16,2001-2017,0.24697712094119129,0.021854505428146265,0.26883162636933755,0.27422918919957495,0.005397562830237401
2001_2025,2001,2018,17,2001-2018,0.24598061723120468,0.06198017185892457,0.30796078909012925,0.3232067100200837,0.01524592092995447
2001_2025,2001,2019,18,2001-2019,0.2428610823634172,0.05508643986823403,0.2979475222316512,0.3113258746415979,0.01337835240994667
2001_2025,2001,2020,19,2001-2020,0.23760056701714083,0.05427467747369108,0.2918752444908319,0.30477093863325333,0.012895694142421421
2001_2025,2001,2021,20,2001-2021,0.2466174774276897,0.06689970439227566,0.31351718181996535,0.33001581815784653,0.01649863633788118
2001_2025,2001,2022,21,2001-2022,0.24084044945340377,0.04700132402553803,0.2878417734789418,0.29916159348215743,0.01131982000321563
2001_2025,2001,2023,22,2001-2023,0.235284296544515,0.0507305107814946,0.2860148073260096,0.29795089986857737,0.011936092542567778
2001_2025,2001,2024,23,2001-2024,0.23208354481522786,0.05648955616599127,0.28857310098121913,0.3016833974212614,0.013110296440042246
2001_2025,2001,2025,24,2001-2025,0.22949099698481956,0.06011612981681136,0.2896071268016309,0.3034032373681599,0.013796110566528963
