,,,,,,,,(USD millions),,,,2009-12-31 00:00:00,2010-12-31 00:00:00,2011-12-31 00:00:00,2012-12-31 00:00:00,2013-12-31 00:00:00,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2023-12-31 00:00:00,2024-12-31 00:00:00,2025-12-31 00:00:00,2026-12-31 00:00:00,2027-12-31 00:00:00,2028-12-31 00:00:00,2029-12-31 00:00:00,2030-12-31 00:00:00,2031-12-31 00:00:00,2032-12-31 00:00:00,2033-12-31 00:00:00,2034-12-31 00:00:00,2035-12-31 00:00:00,TY - 2030,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Core Discounted cash flow analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Year for 1-year forward value,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,,,,,,
,,,,,,,,Discounted cash flows,,,,,,,,,,,,,,,,,,,,,-26872.2932571758,-32417.5516845542,-27415.4079022234,-18783.2770732538,-1688.22738768161,15585.4672416869,36783.7579878675,53727.1957793565,69108.1282069369,88160.2490911627,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Net income ,73795,100118,132170,138708.035480027,159607.04238441,178360.157038065,199722.953495981,225981.968597701,256241.673924945,296529.882804289,343708.043822034,411623.733897067,485129.239913531,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Net income conversion,0.612650682429516,0.665297768563189,0.754705129962085,0.621205841507375,0.571658899736537,0.531149472445261,0.501620153852947,0.480845128090711,0.472744444208921,0.476067117657275,0.489715730150715,0.52162078604591,0.551636819658998,,,,,,
,,,,,,,,Multiples Snapshot,,,,,,,2012-12-31 00:00:00,,,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,,,2023-12-31 00:00:00,2024-12-31 00:00:00,2025-12-31 00:00:00,,,,,,,,,,,,,,,,
,,,,,,,,Terminal Free Cash Flow,,,,,,,31727.21875,,,214919.378802248,214919.378802248,214919.378802248,214919.378802248,214919.378802248,214919.378802248,,,214919.378802248,214919.378802248,214919.378802248,,,,,,,,,,,,,,,,
,,,,,,,,Terminal FCF Multiple,,,,,,,18.8506743828761,,,18.8506743828761,18.8506743828761,18.8506743828761,18.8506743828761,18.8506743828761,18.8506743828761,,,18.8506743828761,18.8506743828761,18.8506743828761,,,,,,,,,,,,,,,,
,,,,,,,,Future Terminal Value,,,,,,,598079.46973053,,,4051375.22837116,4051375.22837116,4051375.22837116,4051375.22837116,4051375.22837116,4051375.22837116,,,4051375.22837116,4051375.22837116,4051375.22837116,,,,,,,,,,,,,,,,
,,,,,,,,Present Terminal Value,,,,,,,552218.547674023,,,4051375.22837116,4387835.86402455,4752239.05077799,5146905.37558653,5574348.14667092,6037289.39872972,,,4387835.86402455,4752239.05077799,4051375.22837116,,,,,,,,,,,,,,,,
,,,,,,,,Years to Terminal,,,,,,,1,,,0,-1,-2,-3,-4,-5,,,-1,-2,0,,,,,,,,,,,,,,,,
