,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,300.784424583054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,2013-Q1,2013-Q2,2013-Q3,2013-Q4,2014-Q1,2014-Q2,2014-Q3,2014-Q4,2015-Q1,2015-Q2,2015-Q3,2015-Q4,2016-Q1,2016-Q2,2016-Q3,2016-Q4,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2,2026-Q3,2026-Q4,2027-Q1,2027-Q2,2027-Q3,2027-Q4,2028-Q1,2028-Q2,2028-Q3,2028-Q4,,,,,,,,2011-FY,2012-FY,2013-FY,2014-FY,2015-FY,2016-FY,2017-FY,2018-FY,2019-FY,2020-FY,2021-FY,2022-FY,2023-FY,2024-FY,2025-FY,2026-FY,2027-FY,2028-FY,2029-FY,2030-FY,2031-FY,2032-FY,2033-FY,2034-FY,2035-FY
,,,,,,,,% change Y/Y,,,NA,NA,NA,NA,0.237501958118985,0.58328733242374,0.670791363181665,0.48553773014345,0.0156628243713541,0.0769045598287959,0.0270335005600737,0.262224695285473,0.446034045283563,0.264201382649506,0.1,0.1,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,,,,,,,,,,NA,0.644895371377676,0.4847215440963,0.0963554102360131,0.214978414378264,0.0799999999999999,0.0800000000000003,0.05,0.05,0.0500000000000003,0.0500000000000003,0.0125464279121468,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
,,,,,,,,Two-year % Growth,,,,,,,,,,0.723039688262435,0.598950156795095,0.747695923010461,0.512571230703524,0.277887519656827,0.522938605112358,0.29123488320958,0.362224695285473,0.546034045283563,0.344201382649506,0.18,0.18,0.16,0.16,0.16,0.16,0.16,0.13,0.13,0.13,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,0.05,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,1.12961691547398,0.581076954332313,0.311333824614278,0.294978414378264,0.16,0.13,0.1,0.1,0.100000000000001,0.062546427912147,0.0225464279121468,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
,,,,,,,,% change Q/Q,,,NA,-0.105199718391837,-0.0493756536555267,0.0779482095826307,0.349624502856989,0.144827239766827,0.00316279614967629,-0.0415722921704707,-0.0772611111801601,0.213857241928882,-0.0432933088099974,0.177908141076768,0.0571111887799312,0.0612198299139535,-0.167555600909535,0.177908141076768,0.0378909853475686,0.0612198299139535,-0.167555600909535,0.177908141076768,0.0378909853475689,0.0612198299139535,-0.167555600909535,0.177908141076768,0.0090606801990254,0.0612198299139535,-0.167555600909535,0.177908141076768,0.0090606801990254,0.0612198299139535,-0.167555600909535,0.177908141076768,0.0090606801990254,0.0612198299139535,-0.167555600909535,0.177908141076768,0.0090606801990254,0.0612198299139535,-0.167555600909536,0.177908141076768,0.0090606801990254,0.0106855522990033,-0.167555600909536,0.177908141076768,0.0191512870010158,0.0106855522990033,-0.167555600909536,0.177908141076768,0.0191512870010155,0.0106855522990033,-0.167555600909536,0.177908141076768,0.0191512870010158,0.0106855522990033,-0.167555600909536,0.177908141076768,0.0191512870010158,0.0106855522990033,-0.167555600909536,0.177908141076768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,% of total Display (ex-YouTube),,,0.15,0.15,0.15,0.15,0.16,0.16,0.156,0.155,0.145,0.16,0.16,0.16,0.16,0.16,0.130976668679254,0.140873510860435,0.149097744995975,0.173277257540005,0.124576578107811,0.138120161877087,0.162600640291738,0.178039890926547,0.124621674310096,0.138169386996506,0.158866913185982,0.174025315139318,0.121633368666146,0.134906285428801,0.159624047024724,0.200048835457874,0.121582514369206,0.131053295302333,0.142901779834909,0.151760760275427,0.0901014354590047,0.116044697778926,0.139981894360856,0.148688994148356,0.106258705516197,0.138916699509287,0.155983895620912,0.158863709158833,0.116687554079514,0.141350999207797,0.158662164053243,0.162976266733699,0.119863871566645,0.14508839948513,0.164187655524779,0.170094941897539,0.125381511470796,0.150225583237277,0.169866723708421,0.175935326595148,0.128759987438697,0.154155505377464,0.17420512791593,0.180395042037154,0.132097559131942,0.158031948533057,,,,,,,,,,0,0,0,0.12,0.15,0.157669255080587,0.156584824223647,0.147523685765481,0.145145884037047,0.149088336753695,0.145610934302455,0.148837538014736,0.12164050536867,0.132463260098835,0.142365939086423,0.145825584407787,0.151661645941212,0.156256387591457,0.160239911233931,0.163682112526056,0.166648803588302,0.169200013059753,0.171389882642269,0.173266694927331,0.174873129178281,0.176246649107057,0.177419956900301
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15033,0.379807538684893,,,,,,,,,,,,,,,,,,,
,,,,,,,,Display Revenue from Network sites,,,1007.60391644,901.60426818,857.0869681,923.89536272,1155.227126985,1322.53548309,1367.216512675,1320.39483862,1317.81893705,1424.244492275,1362.58423565,1604.999064075,1696.662468615,1800.531856365,1894.23666276,2050.8596316225,1991.9044628,1767.19136524,2166.71735448,2266.32173292,1941.3061646925,1846.810941015,2339.08745830515,2446.61572077998,2095.57987583355,1993.5752087169,2524.97246162887,2641.04589044904,2187.95083088674,1763.57958463756,2652.48357094113,2867.34182253594,2617.24580956612,2588.30695898221,3892.90154244093,3458.82490006429,2814.9882395034,2783.91286510112,3404.46405203779,2955.31367112264,2603.16158574938,2574.47030136398,3064.01764683401,2896.20739770019,2576.60933757474,2522.20855424629,3001.81808860328,2837.41438752687,2498.28041371246,2420.05910779932,2880.24445601485,2751.15699014606,2422.3326891356,2346.48931092222,2821.77549355775,2695.30850324609,2373.15933554615,2298.8555779105,2767.34344428702,2643.31600221847,,,,,,,,,,940.553700257906,1333.85958426229,2072.26364756634,2903.2488936,3690.19051544,5165.37396137,5709.64672905,7442.2906193625,8192.13491544,8573.82028479263,9255.17343662836,9471.35580900136,12557.2792110535,11958.678827765,11137.8569316476,10938.0503679512,10549.7409676727,10285.9059968617,10082.6743599621,9928.4795268845,9814.31103082648,9733.10518462348,9679.25100145479,9648.24710546985,9636.45057761488,9640.89046447805,9659.12744279245
,,,,,,,,% change Y/Y,,,NA,NA,NA,NA,0.146509167080824,0.466869146216113,0.595189944033172,0.429160586684495,0.140744452988517,0.0769045598287956,-0.00338810786883847,0.215544787915448,0.287477680669136,0.264201382649507,0.390179493641641,0.277794908126293,0.174013393734116,-0.0185170237378134,0.143847227264085,0.105059409222971,-0.025401970351718,0.0450543033092443,0.0795535714285718,0.0795535714285716,0.0794690265486726,0.0794690265486726,0.0794690265486724,0.0794690265486726,0.0440789473684211,-0.115368421052632,0.0504999999999998,0.085684210526316,0.196208695652174,0.467643979057592,0.467643979057592,0.206282722513089,0.0755536332179931,0.0755729166666668,-0.12546875,-0.145572916666667,-0.0752495697074009,-0.0752331606217616,-0.1,-0.0199999999999999,-0.0102000000000001,-0.0203,-0.0203,-0.0203000000000002,-0.0304,-0.0405000000000002,-0.0405,-0.0304000000000001,-0.0304,-0.0304,-0.0203,-0.0203,-0.0203,-0.0202999999999999,-0.0192899999999999,-0.0192899999999999,,,,,,,,,,,0.418164198276547,0.553584554188608,0.401003630503085,0.271055514246386,0.399758072044718,0.105369479877047,0.303459035652243,0.100754503475938,0.0465916849871759,0.0794690265486726,0.0233580033754353,0.325816436873735,-0.0476695925309733,-0.0686381754990912,-0.0179394083549987,-0.0355007873630071,-0.0250086681388186,-0.0197582630991892,-0.0152930490039371,-0.0114990916533465,-0.00827422790534427,-0.00553309371954291,-0.00320312966161129,-0.00122266021236972,0.000460738819485496,0.00189162799656328
,,,,,,,,Two-year % Growth,,,,,,,,,,0.575669753765319,0.60761359920463,0.672094503861968,0.425772478815657,0.356289240903965,0.364382240497931,0.260813274780668,0.605724281557089,0.565272588795428,0.438214776383623,0.371662469903828,0.421642135390378,0.279072802957087,-0.0439189940895314,0.188901530573329,0.184612980651543,0.0541516010768536,0.124523329857917,0.159022597977244,0.159022597977244,0.158938053097345,0.123547973917094,-0.0358993945039592,0.129969026548672,0.129763157894737,0.0808402745995422,0.518143979057592,0.553328189583908,0.402491418165263,0.543197612275585,0.543216895724259,0.0808139725130885,-0.0700192834486737,0.000323346959265836,-0.200701910621762,-0.245572916666667,-0.0952495697074008,-0.0854331606217617,-0.1203,-0.0402999999999999,-0.0305000000000003,-0.0507,-0.0608000000000002,-0.0608000000000002,-0.0608000000000001,-0.0709000000000002,-0.0709,-0.0507000000000001,-0.0507,-0.0507,-0.0405999999999999,-0.0395899999999999,-0.0395899999999999,,,,,,,,,,,,,,,0.670813586291105,0.505127551921766,0.40882851552929,0.404213539128181,0.147346188463114,0.126060711535849,0.102827029924108,0.34917444024917,0.278146844342762,-0.116307768030064,-0.08657758385409,-0.0534401957180058,-0.0605094555018257,-0.0447669312380078,-0.0350513121031263,-0.0267921406572836,-0.0197733195586908,-0.0138073216248872,-0.00873622338115421,-0.00442578987398101,-0.000761921392884224,0.00235236681604878
,,,,,,,,% change Q/Q,,,NA,-0.105199718391837,-0.0493756536555263,0.0779482095826305,0.250387407058681,0.144827239766827,0.0337843711237196,-0.0342459834422219,-0.00195085704264941,0.0807588601384335,-0.0432933088099976,0.177908141076768,0.0571111887799309,0.0612198299139541,0.0520428483749107,0.0826839496572158,-0.0287465645690529,-0.112813190470051,0.226079640891489,0.0459701761441351,-0.143411045089675,-0.0486761054985201,0.266554906275137,0.0459701761441349,-0.14347812856958,-0.0486761054985202,0.266554906275136,0.0459701761441351,-0.171558949884533,-0.193958310332407,0.504033951201724,0.0810026700819775,-0.0872222526816247,-0.0110569861180555,0.504033951201724,-0.111504654727142,-0.1861431784387,-0.0110392554989024,0.222906109855607,-0.131929835078242,-0.119158953858014,-0.0110217070436447,0.190154590328995,-0.0547680426407525,-0.110350543396594,-0.0211133222778931,0.190154590328995,-0.0547680426407527,-0.119522187279104,-0.0313100585041652,0.190154590328995,-0.0448182325632871,-0.119522187279103,-0.0313100585041651,0.202552033978255,-0.044818232563287,-0.119522187279103,-0.0313100585041651,0.203791778343181,-0.044818232563287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,% of total Display (ex-YouTube),,,0.85,0.85,0.85,0.85,0.84,0.84,0.844,0.845,0.855,0.84,0.84,0.84,0.84,0.84,0.869023331320746,0.859126489139565,0.850902255004025,0.826722742459995,0.875423421892189,0.861879838122913,0.837399359708262,0.821960109073453,0.875378325689904,0.861830613003494,0.841133086814018,0.825974684860683,0.878366631333854,0.865093714571199,0.840375952975276,0.799951164542126,0.878417485630795,0.868946704697667,0.857098220165091,0.848239239724573,0.909898564540995,0.883955302221074,0.860018105639144,0.851311005851643,0.893741294483803,0.861083300490713,0.844016104379088,0.841136290841167,0.883312445920486,0.858649000792203,0.841337835946757,0.837023733266301,0.880136128433355,0.85491160051487,0.835812344475221,0.829905058102461,0.874618488529204,0.849774416762723,0.830133276291579,0.824064673404853,0.871240012561304,0.845844494622536,0.825794872084069,0.819604957962847,0.867902440868058,0.841968051466943,,,,,,,,,,,,,0.88,0.85,0.842330744919413,0.843415175776353,0.852476314234519,0.854854115962953,0.850911663246306,0.854389065697545,0.851162461985264,0.878359494631331,0.867536739901165,0.857634060913577,0.854174415592213,0.848338354058788,0.843743612408543,0.839760088766069,0.836317887473944,0.833351196411698,0.830799986940247,0.828610117357731,0.826733305072669,0.825126870821719,0.823753350892943,0.822580043099699
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"Google Display Network Total Ad Impressions (ComScore, WW Desktop)",,,4580017.802,4098201.219,3895849.855,4199524.376,4359347.649,4898279.567,5159307.595,5078441.687,4792068.862,5179070.881,4954851.766,5836360.233,6114098.986,6488403.086,6826078.064,7390485.159,7113944.51,6311397.733,7738276.266,8094006.189,6871880.229,6537383.862,8279955.60462,8660586.62223,7352911.84503,6995000.73234,8859552.4969434,9266827.6857861,7610263.75960605,6155600.6444592,9258232.35930585,10008173.900649,9056213.8739312,8987176.94091043,13517019.2445865,12009808.6807788,9690148.84510638,9616279.32677416,11759806.7427903,10208337.378662,8914936.93749787,8846976.98063223,10583826.0685113,10004170.6310887,8736638.19874791,8581567.67121326,10266311.2864559,9704045.51215607,8387172.670798,8152489.2876526,9752995.72213313,9315883.69166982,8051685.76396608,7826389.7161465,9460405.85046914,9036407.18091973,7810135.1910471,7591598.0246621,9186054.08080553,8774351.37267306,,,,,,,,,,5532668.82504651,7410331.0236794,10906650.7766649,14516244.468,16773593.252,19495376.498,20762351.742,26819065.295,29257624.698,30349806.31785,32474292.7600995,33032270.6640201,43570218.740207,41274572.2933328,38349910.6177301,37288562.6685732,35608541.3722535,34374888.5115014,33362138.6691878,32526663.2154889,31834293.2019767,31258305.9453643,30777575.0584698,30375238.11375,30037722.29571,29754021.6241788,29515153.6282113
,,,,,,,,% change Y/Y,,,NA,NA,NA,NA,-0.0481810688385617,0.195226711731648,0.324308632782256,0.209289727194573,0.0992628365162074,0.0573244769228176,-0.0396285403099718,0.149242344938242,0.27587878264509,0.252812181004016,0.377655354059284,0.266283242287317,0.163531131290062,-0.0272802645972973,0.133634305592084,0.0951928073549089,-0.034026731676039,0.0358060351383658,0.07,0.07,0.07,0.07,0.07,0.07,0.035,-0.12,0.045,0.08,0.19,0.46,0.46,0.2,0.07,0.07,-0.13,-0.15,-0.08,-0.08,-0.1,-0.02,-0.02,-0.03,-0.03,-0.03,-0.04,-0.05,-0.05,-0.04,-0.04,-0.04,-0.03,-0.03,-0.03,-0.03,-0.029,-0.029,,,,,,,,,,,0.339377298372294,0.471816946073418,0.33095344897793,0.15550501295126,0.162265962045757,0.0649884983821665,0.291716161457179,0.0909263382663312,0.0373298116687053,0.0700000000000003,0.0171821418265392,0.319019790778875,-0.0526884306127138,-0.0708586791600779,-0.0276753695656915,-0.0450546005554553,-0.0346448580371614,-0.0294619091484414,-0.0250426227761752,-0.0212862293597489,-0.0180932949557866,-0.0153793007124186,-0.0130724056055558,-0.0111115447647224,-0.00944481305001406,-0.00802809109251195
