,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GOOGL Model,1Q13,2Q13,3Q13,4Q13,1Q14,2Q14,3Q14,4Q14,1Q15,2Q15,3Q15,4Q15,1Q16,2Q16,3Q16,4Q16,1Q17,2Q17,3Q17,4Q17,1Q18,2Q18,3Q18,4Q18,1Q19,2Q19,3Q19,4Q19,1Q20,2Q20,3Q20,4Q20,1Q21,2Q21,3Q21,4Q21,1Q22,2Q22,3Q22,4Q22,1Q23,2Q23,3Q23,4Q23,1Q24,2Q24,3Q24,4Q24,1Q25,2Q25,3Q25,4Q25E,1Q26E,2Q26E,3Q26E,4Q26E,1Q27E,2Q27E,3Q27E,4Q27E,1Q28E,2Q28E,3Q28E,4Q28E,,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024E,2025E,2026E,2027E,2028E,2029E,2030E,2031E,2032E,2033E,2034E,2035E
,Total US Display Revenue,991.059201158733,924.892367031291,931.266370047473,1032.22778455165,1198.77084152054,1361.90835399889,1461.30834986708,1488.72315427235,1379.44177840431,1518.10184827617,1555.14312005764,1839.60022355813,1794.81094933094,1963.84163112392,2117.44055045899,2411.78635372806,2206.53994433578,2107.43516395862,2519.2812184454,2808.18691664826,2379.52651240375,2394.63099801238,2934.36935617472,3248.95140443542,2802.71410755844,2950.57229611881,3343.63573401938,3787.98104319824,3235.77668581942,2877.42634176412,3876.68126108192,4719.60314165326,4239.27872610492,4586.67153543126,5516.62347920294,5760.57698921701,4764.06126003145,5078.30350292169,5353.43935589545,5428.40160691646,4769.24907702259,5131.84370830569,5529.42687225281,5949.08721552074,5277.42256134062,5575.07848899385,5976.57112141913,6698.69683348302,5619.7901051595,5936.95622150932,6464.46007736851,7000.17618502904,5895.3205361237,6212.3903317721,6627.82675128162,7436.08959148207,6065.11492271074,6456.36620680232,7255.11414264813,7938.55066878794,,,,,,3879.44572278915,5510.71069965886,6292.28697029623,8287.8794846419,9641.44324338806,10957.4782710263,12884.9031808949,14709.4874303187,20103.1507299561,20624.2057257651,21379.6068731018,23527.7690052366,25021.3825890664,26171.6272106595,27715.1459409491,29248.4849009253,30908.8176440936,32649.8006935955,34472.141476455,36301.6524457545,38208.8822707023,40200.5927140563,42285.0917321632
,% change Y/Y,,,,,0.209585502176811,0.472504696271119,0.56916259071246,0.442242862043264,0.150713489706344,0.114687228269551,0.0642128474795136,0.235689938910954,0.301113955970738,0.293616520758403,0.36157278590572,0.311038302149811,0.229399645215185,0.0731186927494374,0.189776599819677,0.164359733733237,0.0783972066819048,0.136277423365327,0.164764510881188,0.156956962221462,0.177845295250436,0.232161572521141,0.13947336826683,0.165908803076261,0.154515430986373,-0.0247904294536031,0.15942093262108,0.245941594699334,0.310127100143617,0.594018748232916,0.423027354501498,0.220563851730784,0.123790523773535,0.107187088434969,-0.0295804351924084,-0.0576635609457766,0.00108894842193985,0.0105429313850969,0.0328737293275865,0.0959187706268574,0.106552095751576,0.0863695010763481,0.080866292202928,0.126004139930341,0.0648740061724213,0.0649098901889678,0.0816335899025542,0.0450056718553207,0.049028598187544,0.0463931516397067,0.0252715109936315,0.0622717764426133,0.028801552951466,0.0392724638988715,0.0946445063980004,0.0675706056421686,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total US Display Market ,4941.68510830464,5153.09893272963,5243.01549520203,6185.71586072964,5912.45985749254,5988.91221106081,6105.87561804471,7491.68034332084,6989.51733967911,7901.52623744341,7756.87270209879,9702.40143584893,8576.65162412296,9387.93775028368,9412.44323241361,11461.319082533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21523.5153969659,25498.9280299189,32350.3177150702,38838.3516893533,46013.8475200121,53577.1472684645,60057.0842353635,64261.7600139503,,,,,,,,,,,,,,,
,GOOG as % of Total US Display Market,0.20055086057451,0.17948274991518,0.177620373409098,0.166872809516649,0.202753315948758,0.227404962036946,0.239328221090596,0.19871685470398,0.197358660314538,0.192127672889606,0.200485837499545,0.189602567541792,0.209267092565914,0.209187755965316,0.22496184021245,0.210428340434532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.180242197951363,0.216115387015208,0.194504642140346,0.213394212785654,0.209533515735559,0.204517762323562,0.214544268089989,0.228899541922373,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other and Other Bets,1049,1046,1230,1647,1423,1457,1703,1794,1750,1704,1894,2251,2237,2357,2630,3665,3076.68687000988,3287.01985082344,3846.97645756872,5236.31682159797,4553.11019926654,4638.47016813762,4670.41963259584,6634,5615,6342,6584,8050,7347,8279,9100,10701,10739,11443,11926,13883,13072,13022,13972,16337,15155,16458,17047,20643,18808,20024,22397,23988,23089,25200,28371,31612,32437.786,35964.482,39995.934,43032.473,43771.683,48220.683,53165.683,57511.683,,,,,,4972,6377,7599,10889,15447,20496,26591,35427,47991,56403,69303,85217,108272,151430.675,202669.732,260928.632,327375.582,401271.007,479084.83075,564424.8751875,656817.939621875,755191.222670625,859013.818938875
,% US,0.8,0.8,0.8,0.8,0.65,0.65,0.65,0.7,0.6,0.6,0.68,0.73,0.639,0.6475,0.67,0.66,0.66,0.66,0.62,0.65,0.65,0.65,0.65,0.65,0.64,0.62,0.625,0.63,0.62,0.62,0.62,0.62,0.63,0.63,0.63,0.63,0.64,0.64,0.64,0.64,0.63,0.63,0.63,0.63,0.625,0.635,0.63,0.615,0.63,0.61,0.6,0.64,0.63,0.63,0.635,0.655,0.62,0.61,0.645,0.67,,,,,,0.8,0.664066175317547,0.658448480063166,0.655395399026541,0.64664839603038,0.65,0.628488586363807,0.62,0.63,0.64,0.63,0.625848950326813,0.620403705482489,0.638424921139657,0.638367416576048,0.636367416576048,0.634367416576048,0.632367416576048,0.631367416576048,0.630367416576048,0.629367416576048,0.628367416576048,0.627367416576048
,US License/Other,839.2,836.8,984,1317.6,924.95,947.05,1106.95,1255.8,1050,1022.4,1287.92,1643.23,1429.443,1526.1575,1762.1,2418.9,2030.61333420652,2169.43310154347,2385.12540369261,3403.60593403868,2959.52162952325,3015.00560928945,3035.7727611873,4312.1,3593.6,3932.04,4115,5071.5,4555.14,5132.98,5642,6634.62,6765.57,7209.09,7513.38,8746.29,8366.08,8334.08,8942.08,10455.68,9547.65,10368.54,10739.61,13005.09,11755,12715.24,14110.11,14752.62,14546.07,15372,17022.6,20231.68,20435.80518,22657.62366,25397.41809,28186.269815,27138.44346,29414.61663,34291.865535,38532.82761,,,,,,3977.6,4234.75,5003.55,7136.6005,9988.77777348128,13322.4,16712.14,21964.74,30234.33,36097.92,43660.89,53332.97,67172.35,96677.116745,129377.753235,166046.479456562,207676.40220342,253750.710043459,302478.551911401,355795.050423203,413379.809820622,474537.557610448,538917.280390807
,% change Y/Y,,,,,0.102180648236416,0.131751912045889,0.12494918699187,-0.0469034608378872,0.135196497107952,0.0795628530700596,0.16348525226975,0.308512501990763,0.361374285714286,0.492720559467919,0.36817504192807,0.472039824005161,0.420562648672608,0.421500141068973,0.353569833546681,0.407088318673232,0.457452080939728,0.389766574108411,0.272793772808495,0.266921048901602,0.214250291044128,0.304156777647476,0.355503301370494,0.176109088379212,0.267570124666073,0.305424156417534,0.371081409477521,0.308216503992901,0.485260606699245,0.404464852775581,0.331687344913151,0.31828047423967,0.236566911583207,0.156051595971197,0.190154098421749,0.195441724434017,0.141233409195226,0.244113327445861,0.201019225951904,0.243830147823958,0.231193016082492,0.226328875617975,0.313838212002112,0.134372772506765,0.237436835389196,0.208942969224332,0.206411572978524,0.371395724962752,0.404902161202304,0.473954180327869,0.491982311162807,0.393174952104818,0.327985035136257,0.298221608382033,0.350210695177007,0.367077937694822,,,,,,,,0.181545545781924,0.426307421730571,0.399654887993419,0.333736749592027,0.254439140094878,0.314298468059746,0.376493871541389,0.193938149117245,0.20951262565821,0.221527321133399,0.259490142776598,0.439239757802131,0.338245880628119,0.283423736343278,0.250712468479334,0.221856250162255,0.19203036657354,0.17626538534679,0.161848118260568,0.1479456575694,0.135668340151085
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.019330417306422,-0.0167424046688767,-0.0145804807799547,-0.0127774476854775,-0.0112772099550622,,
