,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,YoY Change in bp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Mobile search revs (MS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1195.31553685848,1381.89277952152,1436.61156305191,1674.64048335177,2302.69139600448,2595.98495128368,2496.12009703534,2772.78668150681,3171.69049865215,3505.72796328138,3802.36524082672,4595.33083548684,4769.27202219807,5511.47853880221,5900.65391655953,6750.54099733017,6910.675160165,7638.90925477986,8364.17692672313,9568.89186371552,10376.3787529878,11229.1966045264,11241.4537895159,12860.5906648337,12611.4507363813,14110.6084532479,14357.5847799697,16425.5463971256,14938.2633972437,13004.3367505132,15499.0127699773,21353.2103162632,20390.7295372376,20741.9171170686,23217.521129426,30268.1756233031,25371.1652267079,24610.2846594019,26572.452932628,33370.6636246917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4720.51582580024,5688.46036278368,10167.5831258303,15075.1145382471,22931.94547489,32482.6532053835,45707.6198118637,57505.1903667244,64794.8232339974,94618.3434070353,109924.56644343,122314.330677561,139546.664519409,154342.155758294,168863.556958171,182436.664934959,195058.206010669,206714.727721868,217421.265346069,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,OTHER GOOGLE & OTHER BETS ROLL-UP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1794,1750,1704,1894,2251,2237,2357,2630,3665,3076.68687000988,3287.01985082344,3846.97645756872,5236.31682159797,4553.11019926654,4638.47016813762,4670.41963259584,6634,5615,6342,6584,8050,7347,8279,9100,10701,10739,11443,11926,13883,13072,13022,13972,16337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Total Google Other Revenue + Other Bets Revenue ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1049,1046,1230,1647,1423,1457,1703,1794,1750,1704,1894,2251,2237,2357,2630,3665,3076.68687000988,3287.01985082344,3846.97645756872,5236.31682159797,4553.11019926654,4638.47016813762,4670.41963259584,6634,5615,6342,6584,8050,7347,8279,9100,10701,10739,11443,11926,13883,13072,13022,13972,16337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4972,6377,7599,10889,15447,20496,26591,35427,47991,56403,69303,85217,108272,151430.675,202669.732,260928.632,327375.582,401271.007,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Period-to-period addition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3,184,417,-224,34,246,91,-44,-46,190,357,-14,120,273,1035,-588.313129990123,210.332980813564,559.956606745281,1389.34036402925,-683.20662233143,85.359968871082,31.9494644582201,1963.58036740416,-1019,727,242,1466,-703,932,821,1601,38,704,483,1957,-811,-50,950,2365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1222,3290,4558.00000000001,5048.99999999999,6095,8836,12564,8412,12900,15914,23055,43158.675,51239.057,58258.9,66446.95,73895.425,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,% change Y/Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,0.356530028598665,0.392925430210325,0.384552845528455,0.0892531876138434,0.229796205200281,0.169526424159231,0.112155020551967,0.254738015607581,0.278285714285714,0.383215962441315,0.388595564941922,0.628165259884496,0.375362928033025,0.394577789912364,0.462728691090769,0.428735831268204,0.479874420646493,0.411147598325463,0.214049444832718,0.266921048901602,0.233222951841693,0.367261137856225,0.409723433425314,0.213445884835695,0.308459483526269,0.305424156417534,0.382138517618469,0.329316770186335,0.461685041513543,0.382171759874381,0.310549450549451,0.297355387346977,0.21724555358972,0.137988289784148,0.171557940633909,0.176762947489736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.191626156499922,0.432951704171602,0.418587565433006,0.326859584385317,0.297375097580016,0.332292881049979,0.354644762469303,0.175282865537288,0.228711238763895,0.229629308976523,0.270544609643616,0.398613445766219,0.338366430711611,0.287457329839465,0.254655648522313,0.225720637283205,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,% change Q/Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0028598665395615,0.175908221797323,0.339024390243903,-0.136004857316333,0.0238931834153198,0.168840082361016,0.0534351145038168,-0.0245261984392419,-0.0262857142857142,0.11150234741784,0.188489968321014,-0.00621945801865842,0.0536432722396065,0.115825201527365,0.393536121673004,-0.160521999997305,0.0683634668395385,0.170353886547112,0.361151251990584,-0.130474653388703,0.0187476175922192,0.00688793142999722,0.420429109560074,-0.153602652999699,0.129474621549421,0.0381583096814886,0.222660996354799,-0.0873291925465839,0.126854498434735,0.0991665660103878,0.175934065934066,0.00355106999345844,0.0655554520905113,0.0422092108712751,0.164095254066745,-0.0584167687099331,-0.00382496940024479,0.072953463369682,0.169267105639851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
