,,,,,,,,(USD millions),,,,2009-12-31 00:00:00,2010-12-31 00:00:00,2011-12-31 00:00:00,2012-12-31 00:00:00,2013-12-31 00:00:00,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2023-12-31 00:00:00,2024-12-31 00:00:00,2025-12-31 00:00:00,2026-12-31 00:00:00,2027-12-31 00:00:00,2028-12-31 00:00:00,2029-12-31 00:00:00,2030-12-31 00:00:00,2031-12-31 00:00:00,2032-12-31 00:00:00,2033-12-31 00:00:00,2034-12-31 00:00:00,2035-12-31 00:00:00,TY - 2035,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Core Discounted cash flow analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,NPV Calculations,,,,,,,,,,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2023-12-31 00:00:00,2024-12-31 00:00:00,2025-12-31 00:00:00,2026-12-31 00:00:00,2027-12-31 00:00:00,2028-12-31 00:00:00,2029-12-31 00:00:00,2030-12-31 00:00:00,2031-12-31 00:00:00,2032-12-31 00:00:00,2033-12-31 00:00:00,2034-12-31 00:00:00,2035-12-31 00:00:00,,,,,,,,,,,,
,,,,,,,,Year for 1-year forward value,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,,,,,,,,,,,,
,,,,,,,,Discounted cash flows,,,,,,,,,,,,,,,,,,,,,,-22034.0059292246,-11886.8709886817,4865.20826976291,27856.2392440142,51034.734489381,75124.9428683714,97342.7402087455,115887.268472856,137113.049468594,,,,,,,,,,,,
,,,,,,,,Net Income,,,,,,,,,,,,,,,,76033,59972,73795,100118,132170,147544.985203836,166853.038258361,188739.485096036,215408.745755884,246028.486741146,281628.23298715,326326.865841147,381310.08371748,458016.199192492,540657.333677273,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0.713717133979781,0.544546544147024,0.612650682429516,0.665297768563189,0.754705129962085,0.621205841507375,0.571658899736537,0.531149472445261,0.501620153852947,0.480845128090711,0.472744444208921,0.476067117657275,0.489715730150715,0.52162078604591,0.551636819658998,,,,,,,,,,,,
,,,,,,,,Multiples Snapshot,,,,,,,2012-12-31 00:00:00,,,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2023-12-31 00:00:00,2024-12-31 00:00:00,2025-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Terminal Free Cash Flow,,,,,,,30227.41,,,337177.425710512,337177.425710512,337177.425710512,337177.425710512,337177.425710512,337177.425710512,337177.425710512,337177.425710512,337177.425710512,337177.425710512,337177.425710512,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Terminal FCF Multiple,,,,,,,18.8506743828761,,,18.8506743828761,18.8506743828761,18.8506743828761,18.8506743828761,18.8506743828761,18.8506743828761,18.8506743828761,18.8506743828761,18.8506743828761,18.8506743828761,18.8506743828761,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Future Terminal Value,,,,,,,569807.063347691,,,6356021.86132523,6356021.86132523,6356021.86132523,6356021.86132523,6356021.86132523,6356021.86132523,6356021.86132523,6356021.86132523,6356021.86132523,6356021.86132523,6356021.86132523,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Present Terminal Value,,,,,,,526114.078314767,,,6356021.86132523,6883879.9428755,7455575.8463114,8074750.23698379,8745346.13203994,9471634.01028666,10258239.00739,11110170.3695952,12032853.3535345,13032163.7752655,6356021.86132523,,,,,,,,,,,,,,,,,,,,,,
