window_label,from_year,to_year,period,Revenue_pct_change,Net Margin_pct_change,EPS_pct_change,FCF_pct_change,NetCash_pct_change,Shares_pct_change,Revenue_weight,Net Margin_weight,EPS_weight,FCF_weight,NetCash_weight,Shares_weight
2001_2025,2002,2003,2002-2003,2.33539776295312,-0.6821587973428676,-0.08860354165356255,0.8518637722649005,1.2827944332894834,0.1631895500673064,0.43216031961928597,0.12623201433490416,0.01639589430452535,0.15763555396600762,0.23737834346266445,0.03019787431261245
2001_2025,2003,2004,2003-2004,1.17555701689162,0.7364834684429487,2.554249965282207,2.0096824061030714,5.46730703904108,0.06290183059406629,0.09791264564246374,0.061342022403865507,0.21274456971406033,0.16738730529886783,0.45537433662524796,0.005239120315494584
2001_2025,2004,2005,2004-2005,0.9247823059096214,0.9075295641548091,2.4314020192192145,1.4636539224282692,2.7746223907832728,0.0699938778727256,0.10788427711008179,0.1058715876798336,0.2836451860413229,0.17074855817574602,0.32368496777051703,0.008165423222498733
2001_2025,2005,2006,2005-2006,0.7275903469217535,0.21561030846512885,0.9801703374751125,0.03485370449758052,0.525201848367471,0.060553526521718304,0.28600473520163866,0.08475314363391966,0.3852901004089571,0.013700462860454485,0.20644888460278543,0.023802673292244655
2001_2025,2006,2007,2006-2007,0.5647445425551187,-0.12702884395211367,0.33719807297466486,1.0102222672571544,0.2445911309471247,0.02152170261154973,0.24497589703739142,0.05510279896818066,0.14627038276901286,0.43821602066090765,0.10609917793993359,0.009335722624573732
2001_2025,2007,2008,2007-2008,0.3134607923617627,-0.23446198139891283,0.0013746618561469859,0.629142167545818,0.04271572759992326,0.004123841750735213,0.2558280589384298,0.19135392705483045,0.0011219172634161995,0.513468425530582,0.03486203679795237,0.003365634414789217
2001_2025,2008,2009,2008-2009,0.0851097127624676,0.42162851799027545,0.5334371839181076,0.548361275743503,0.5450446681364698,0.005990287042461073,0.03977885617327267,0.19706211701705437,0.24931961732470523,0.2562948882188272,0.25474476129792495,0.0027997599682155158
2001_2025,2009,2010,2009-2010,0.23975907042889433,0.05210621906968127,0.28888352333503775,-0.16977281890515328,0.30141382952791096,0.012006286472812988,0.2253498097412755,0.04897469168813896,0.27152193618571285,0.15956965620144334,0.2832991845355363,0.011284721647893042
2001_2025,2010,2011,2010-2011,0.2927594556802291,-0.11440913307744116,0.1309902272335286,0.5753928925385814,0.28654824712015725,0.012259822862110248,0.20728390891211707,0.08100565791952367,0.09274565109148726,0.40739824320455414,0.20288615654436307,0.00868038232795488
2001_2025,2011,2012,2011-2012,0.3237039968341908,-0.16695799067032457,0.08580736736640682,0.19942482250381954,0.0681354945161603,0.015558625242196422,0.37658027443348097,0.19423018115435423,0.099823796639149,0.23200039271002387,0.07926526541066928,0.018100089652322626
2001_2025,2012,2013,2012-2013,0.10650722471350282,0.07175009840464974,0.16313392684073058,-0.1171886707627754,0.25960926851431165,0.019572380794751876,0.14436537363835258,0.09725377590711577,0.22112011992429656,0.1588435553208544,0.3518877630119727,0.026529412197407946
2001_2025,2013,2014,2013-2014,0.18880023055170292,-0.066128940762606,0.11176768531511883,0.02401969105415036,0.12243904198528344,-0.001422558695518772,0.36690293039418126,0.12851097733706937,0.21720254867094452,0.04667841246368212,0.23794061674492745,0.002764514389195239
2001_2025,2014,2015,2014-2015,0.13617975485219924,0.017867027213038567,0.129315822492738,0.38060505594695404,0.1734016742452238,0.02405357865114266,0.15808698925188622,0.020741295518238858,0.1501188562330427,0.44183298357382805,0.20129679806235215,0.02792307736065204
2001_2025,2015,2016,2015-2016,0.20380322447292265,-0.01025291765367009,0.18161338253933068,0.5647475535810771,0.20878007366936413,0.008333814382404992,0.1730767430376116,0.008707132081542782,0.1542323622368762,0.4796031439888148,0.177303255408734,0.007077363246420554
2001_2025,2016,2017,2016-2017,0.22801090038993266,-0.47063438788786216,-0.35202915634748344,-0.0806860036832413,0.19755086320177617,0.0032345565133198306,0.1711606107581986,0.3532904310142101,0.2642572144668791,0.06056844495786924,0.1482952189724272,0.002428079830415756
2001_2025,2017,2018,2017-2018,0.23421586757475987,0.9667715287298606,1.4194130387561446,-0.04549058887358626,0.12554509766825905,0.0033097242051043363,0.08380578431705968,0.3459246679550756,0.5078862684008811,0.01627718275056204,0.044921829960525454,0.0011842666158960822
2001_2025,2018,2019,2018-2019,0.18300089899794614,-0.055491636964573154,0.12491716726666091,0.3542040138166236,0.07742022237723445,-0.006723094735098467,0.22824982033378888,0.0692125352200254,0.15580426730876992,0.4417847286971993,0.09656319692726795,0.008385451512948523
2001_2025,2019,2020,2019-2020,0.1277053201282614,0.03976928886857123,0.19222952837170282,0.38328167376985656,0.11908049204751991,-0.016503675794298567,0.14535588875514938,0.0452659319349074,0.21879819817521073,0.43625628343771333,0.13553899506757694,0.01878470262944223
2001_2025,2020,2021,2020-2021,0.41150076427049154,0.3376736247040142,0.9141893582225031,0.5641294960670356,0.07608824451956919,-0.013615170566254386,0.17758560232152726,0.14572506113679612,0.3945238549038473,0.24345343932472518,0.03283633447570802,0.005875707837396106
2001_2025,2021,2022,2021-2022,0.09780815643715779,-0.2815112827923465,-0.18756146392509443,-0.10448874828388943,-0.1608228991909626,-0.029141603906009395,0.11355425292511274,0.3268316730620915,0.217756909948905,0.1213103506156016,0.18671371423521288,0.03383309921307628
2001_2025,2022,2023,2022-2023,0.0868277022726951,0.1321858038567083,0.27278534768192,0.15805699050158317,-0.006808024515063349,-0.03322983880007635,0.1258566374974215,0.19160314465134362,0.39540199405470045,0.22910339484760026,0.009868222364964475,0.04816660658396974
2001_2025,2023,2024,2023-2024,0.1386624332290156,0.19148954437576338,0.386569374117268,0.04703935534930581,-0.0459699543797748,-0.02153876387933573,0.16680805164209145,0.2303579784612414,0.465034996281249,0.05658737578445852,0.05530090844072592,0.02591068939023374
2001_2025,2024,2025,2024-2025,0.1509008108154437,0.1470512660693044,0.34359283723048173,0.006899015996921554,0.21365147121118322,-0.01745365442165936,0.17156611087215368,0.16718938541153833,0.3906465875737339,0.007843810361524364,0.24291023884985763,0.019843866931192142
