window_label,period,eps_revenue_log_contribution,eps_net_margin_log_contribution,eps_share_count_log_contribution,eps_log_change,fcf_revenue_log_contribution,fcf_margin_log_contribution,fcf_share_count_log_contribution,fcf_per_share_log_change,eps_revenue_weight,eps_net_margin_weight,eps_share_count_weight,fcf_revenue_weight,fcf_margin_weight,fcf_share_count_weight,net_margin_minus_fcf_margin_contribution,share_count_sensitivity_gap
2010_2025,2020-2021,0.34465351017104895,0.29093200422587834,0.013708706980862195,0.6492942213777895,0.34465351017104895,0.1026759265213312,0.013708706980862195,0.4610381436732425,0.5308125327832135,0.44807422374486316,0.02111324347192339,0.747559643167659,0.22270592559495916,0.029734431237381842,0.18825607770454714,0.0
2010_2025,2021-2022,0.09331560690852661,-0.3306052768464057,0.029574654390378728,-0.20771501554750033,0.09331560690852661,-0.20367609973839107,0.029574654390378728,-0.08078583843948564,0.205769625187858,0.7290155007886135,0.0652148740235285,0.28574776229897497,0.6236897734703596,0.09056246423066543,-0.12692917710801466,0.0
2010_2025,2022-2023,0.0832630880066023,0.12415010399448012,0.033794494096282664,0.24120768609736518,0.0832630880066023,0.06348050452869762,0.033794494096282664,0.18053808663158244,0.34519251585122623,0.5147021059037319,0.14010537824504188,0.4611940314650294,0.3516183521886988,0.18718761634627182,0.0606695994657825,0.0
2010_2025,2023-2024,0.1298542693610936,0.17520424234045173,0.021774108545784845,0.3268326202473301,0.1298542693610936,-0.08388774949784526,0.021774108545784845,0.06774062840903314,0.3973112269602298,0.5360671838932911,0.06662158914647906,0.5513604133696755,0.35618685829394603,0.09245272833637858,0.259091991838297,0.0
2010_2025,2024-2025,0.14054494949761556,0.13719453293681502,0.017607765279138352,0.29534724771356924,0.14054494949761556,-0.1336696228186455,0.017607765279138352,0.02448309195810848,0.4758634136110779,0.46451942247272204,0.05961716391619995,0.4816113483830555,0.4580513744084024,0.060337277208542026,0.2708641557554605,0.0
2001_2025,2001-2002,1.6263673629956013,1.0315918998792648,-0.16659064977025365,2.4913686131046124,1.6263673629956013,0.2529033243846665,-0.16659064977025365,1.712680037610014,0.5757969989181566,0.3652234627757755,0.058979538306067926,0.7949548356296757,0.12361704079950533,0.08142812357081901,0.7786885754945982,0.0
2001_2025,2002-2003,1.2045919415068858,-1.1462033836384629,-0.15116584397693747,-0.09277728610851453,1.2045919415068858,-0.58839936508074,-0.15116584397693747,0.4650267324492083,0.4814590875243156,0.45812197158941637,0.060418940886268035,0.6195959730709447,0.3026501046532555,0.0777539222757998,-0.5578040185577229,0.0
2001_2025,2003-2004,0.777284731472997,0.5518620731123041,-0.061002743819596625,1.2681440607657044,0.777284731472997,0.3245498287983397,-0.061002743819596625,1.04083181645174,0.559137491620868,0.3969803635483163,0.0438821448308156,0.6684380770538246,0.279101665948068,0.05246025699810731,0.22731224431396435,0.0
2001_2025,2004-2005,0.6548128735056781,0.6458089829579721,-0.06765292684317116,1.2329689296204789,0.6548128735056781,0.24683270874111457,-0.06765292684317116,0.8339926554036214,0.47856825360994987,0.47198778405986025,0.049443962330189856,0.6755533691271806,0.25465087011518883,0.06979576075763061,0.3989762742168575,0.0
2001_2025,2005-2006,0.5467275745232472,0.19524626217025784,-0.05879096665951106,0.6831828700339939,0.5467275745232472,-0.512467506108045,-0.05879096665951106,-0.024530898244309315,0.6827567498395944,0.2438247302487692,0.07341851991163645,0.48902897835632464,0.4583845275617696,0.05258649408190578,0.7077137682783029,0.0
2001_2025,2006-2007,0.44772257907421664,-0.1358527637251543,-0.021293380876134936,0.2905764344729273,0.44772257907421664,0.2505227176081225,-0.021293380876134936,0.6769519158062043,0.7401979331211155,0.22459875739588625,0.035203309482998164,0.6222355976657447,0.3481713011706219,0.029593101163633426,-0.3863754813332768,0.0
2001_2025,2007-2008,0.2726654799543308,-0.26717640006072724,-0.004115362020060334,0.001373717873543169,0.2726654799543308,0.2153881187524356,-0.004115362020060334,0.4839382366867061,0.50126270758746,0.4911716940492136,0.007565598363326215,0.5540078747584225,0.4376304398277252,0.00836168541385226,-0.48256451881316287,0.0
2001_2025,2008-2009,0.0816810996337938,0.3518030581454717,-0.005972416603562708,0.4275117411757028,0.0816810996337938,0.3555160305675825,-0.005972416603562708,0.43122471359781356,0.18586842112558347,0.8005411197671649,0.013590459107251623,0.18431117440870937,0.8022122303544986,0.013476595236791993,-0.0037129724221108273,0.0
2001_2025,2009-2010,0.21491706269742145,0.05079407791593794,-0.01193478277563695,0.25377635783772245,0.21491706269742145,-0.40097296617878914,-0.01193478277563695,-0.19799068625700464,0.7740688574645899,0.18294552030851466,0.04298562222689544,0.3423201165496483,0.6386701492790694,0.01900973417128222,0.45176704409472707,0.0
