window_label,year,revenue,net_income,free_cash_flow,average_diluted_shares,net_margin,fcf_margin,rev_per_share,eps,fcf_per_share
2010_2025,2016,90272.0,19478.0,26064.0,13974.095,0.2157701169797944,0.28872740163062743,6.459953220584231,1.3938648620894591,1.8651655080346885
2010_2025,2017,110855.0,12662.0,23961.0,14019.295,0.11422128005051645,0.21614721934058004,7.9073163094149885,0.9031837906257055,1.7091444327264673
2010_2025,2018,136819.0,30736.0,22871.0,14065.695,0.22464716157843576,0.16716245550691058,9.727141104652134,2.185174639433032,1.6260127921158536
2010_2025,2019,161857.0,34343.0,30972.0,13971.13,0.2121811228430034,0.19135409651729612,11.58510442605573,2.4581404653739534,2.216857190506423
2010_2025,2020,182527.0,40269.0,42843.0,13740.555,0.22061941520980458,0.23472143847211646,13.283815682845416,2.9306676477041864,3.1179963254759357
2010_2025,2021,257637.0,76033.0,67012.0,13553.475,0.2951167728237792,0.2601023921253547,19.008925755203002,5.6098528237223295,4.944267060661565
2010_2025,2022,282836.0,59972.0,60010.0,13158.505,0.2120380715326196,0.21217242500954617,21.49453908327732,4.5576606157006445,4.560548481761416
2010_2025,2023,307394.0,73795.0,69495.0,12721.25,0.24006649446638517,0.22607793255561268,24.163820379286626,5.800923651370738,5.4629065539943005
2010_2025,2024,350018.0,100118.0,72764.0,12447.25,0.28603671811164,0.20788645155392008,28.120106850910844,8.043383076583181,5.845789230552933
2010_2025,2025,402836.0,132170.0,73266.0,12230.0,0.3280987796522654,0.18187550268595656,32.938348323793946,10.807031888798038,5.99067865903516
2001_2025,2001,86.426,6.98500000000001,18.029,7471.04,0.08082058639761194,0.2086062064656469,0.01156813509230308,0.0009349434616867277,0.0024131847774874716
2001_2025,2002,439.508,99.6560000000001,118.067,8825.32,0.22674445061295836,0.26863447309263994,0.04980080042423391,0.011292055132278501,0.013378211781555797
2001_2025,2003,1465.934,105.648,218.644,10265.52,0.07206872887865347,0.14914996173088285,0.14280172850474207,0.010291539055011338,0.021298872341586204
2001_2025,2004,3189.223,399.119,658.049,10911.24,0.12514615628947867,0.20633521080212955,0.2922878609580579,0.036578702328974526,0.06030927740568441
2001_2025,2005,6138.56,1465.397,1621.205,11674.96,0.23871999296251886,0.26410184147422194,0.5257885251855253,0.12551623303206177,0.13886171772751257
2001_2025,2006,10604.917,3077.446,1677.71,12381.92,0.2901904842819609,0.15820114386562387,0.8564840509387881,0.24854352152170262,0.13549675656117952
2001_2025,2007,16593.986,4203.72,3372.57,12648.4,0.2533279225377194,0.2032404992989629,1.3119434869232474,0.33235191802915787,0.2666400493343032
2001_2025,2008,21795.55,4226.858,5494.396,12700.56,0.1939321558758554,0.2520879720860451,1.7161093684058026,0.33280878953368986,0.43261053055928245
2001_2025,2009,23650.563,6520.448,8507.31,12776.64,0.2756994833484514,0.3597085616947047,1.8510784525509054,0.5103413730057356,0.6658487677511459
2001_2025,2010,29321.0,8505.0,7063.0,12930.04,0.29006514102520375,0.24088537225879061,2.2676650652279497,0.6577705869432732,0.5462473433956894
2001_2025,2011,37905.0,9737.0,11127.0,13088.56,0.25687903970452447,0.29354966363276613,2.8960405117140464,0.743932105594504,0.8501317180805222
2001_2025,2012,50175.0,10737.0,13346.0,13292.2,0.21399103139013453,0.26598903836571997,3.7747701659619923,0.8077669610749161,1.0040474864958395
2001_2025,2013,55519.0,12733.0,11782.0,13552.36,0.22934490895008916,0.21221563788973144,4.096629664501238,0.9395411574072707,0.8693688774501267
2001_2025,2014,66001.0,14136.0,12065.0,13533.0809724372,0.21417857305192345,0.1828002606021121,4.877012125651514,1.0445514978289692,0.8915190875287573
2001_2025,2015,74989.0,16348.0,16657.0,13858.6,0.21800530744509194,0.2221259118003974,5.411008326959433,1.1796285339067438,1.201925158385407
2001_2025,2016,90272.0,19478.0,26064.0,13974.095,0.2157701169797944,0.28872740163062743,6.459953220584231,1.3938648620894591,1.8651655080346885
2001_2025,2017,110855.0,12662.0,23961.0,14019.295,0.11422128005051645,0.21614721934058004,7.9073163094149885,0.9031837906257055,1.7091444327264673
2001_2025,2018,136819.0,30736.0,22871.0,14065.695,0.22464716157843576,0.16716245550691058,9.727141104652134,2.185174639433032,1.6260127921158536
2001_2025,2019,161857.0,34343.0,30972.0,13971.13,0.2121811228430034,0.19135409651729612,11.58510442605573,2.4581404653739534,2.216857190506423
2001_2025,2020,182527.0,40269.0,42843.0,13740.555,0.22061941520980458,0.23472143847211646,13.283815682845416,2.9306676477041864,3.1179963254759357
2001_2025,2021,257637.0,76033.0,67012.0,13553.475,0.2951167728237792,0.2601023921253547,19.008925755203002,5.6098528237223295,4.944267060661565
2001_2025,2022,282836.0,59972.0,60010.0,13158.505,0.2120380715326196,0.21217242500954617,21.49453908327732,4.5576606157006445,4.560548481761416
2001_2025,2023,307394.0,73795.0,69495.0,12721.25,0.24006649446638517,0.22607793255561268,24.163820379286626,5.800923651370738,5.4629065539943005
2001_2025,2024,350018.0,100118.0,72764.0,12447.25,0.28603671811164,0.20788645155392008,28.120106850910844,8.043383076583181,5.845789230552933
2001_2025,2025,402836.0,132170.0,73266.0,12230.0,0.3280987796522654,0.18187550268595656,32.938348323793946,10.807031888798038,5.99067865903516
